Id,Predicted,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22
Estimation,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,5.6471651231082e-05,0.023947882943294137,0.011172256676585912,0.023947882943294137,0.008486762816097178,0.006450154711831585,0.010475138544863042,0.00713534378044107,0.008486762816097178,0.013152104500655903,0.00713534378044107,0.023947882943294137,0.12042268235746742,0.018317982508574762,0.023566047369030015,0.06656648864352925,0.08633877297599632,0.025948088787397555,0.017521623997445664,0.07678893355015912,0.020462615144146767,0.02033541865237633
1,4,5.6471651231082e-05,0.16643418384319109,0.029686590063720063,0.2495368296704684,0.08421744937670822,0.018837405235571134,0.032996203645886145,0.032996203645886145,0.03576327576066601,0.014269525075299133,0.07159280478288527,0.025779599011315234,0.008003939118460413,0.023947882943294137,0.011172256676585912,0.011172256676585912,0.025779599011315234,0.023947882943294137,0.00713534378044107,0.010475138544863042,0.013152104500655903,0.012881645447551247
2,3,5.6471651231082e-05,0.0402137780420695,0.17173202619852776,0.02750252789042995,0.09134318806937834,0.10744668986279313,0.09255647894075923,0.031234578812674905,0.02750252789042995,0.028457939559467144,0.05939582875299584,0.012881645447551247,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.011172256676585912,0.00713534378044107,0.011172256676585912,0.033365789150577384,0.01902736228391531,0.023947882943294137
3,6,5.6471651231082e-05,0.2536227484651049,0.1942668129631946,0.14981745206482516,0.03576327576066601,0.25939402888476326,0.06326308885429517,0.2484179919530889,0.030690635062763615,0.08817480234265004,0.02033541865237633,0.011172256676585912,0.011172256676585912,0.011172256676585912,0.023084058145112742,0.012881645447551247,0.033365789150577384,0.006450154711831585,0.011172256676585912,0.025779599011315234,0.023947882943294137,0.010475138544863042
4,20,5.6471651231082e-05,0.013152104500655903,0.025779599011315234,0.023947882943294137,0.008486762816097178,0.010995306353067353,0.013152104500655903,0.00713534378044107,0.008003939118460413,0.023947882943294137,0.015968713606659184,0.00713534378044107,0.018317982508574762,0.031234578812674905,0.03576965616139285,0.014269525075299133,0.02533691352702134,0.07159280478288527,0.057985881113163384,0.2356328426153695,0.032996203645886145,0.02056081138446112
5,9,5.6471651231082e-05,0.04671017942325456,0.124369535236689,0.14315179897618321,0.02555876696402782,0.02206803395222482,0.19641728154152888,0.04721988093322031,0.28304413640738757,0.05672637038126099,0.014269525075299133,0.023947882943294137,0.025779599011315234,0.008003939118460413,0.00713534378044107,0.023084058145112742,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.011947464140926508,0.033365789150577384,0.025779599011315234
6,17,5.6471651231082e-05,0.023947882943294137,0.025779599011315234,0.014664402305012944,0.033365789150577384,0.011172256676585912,0.023947882943294137,0.023947882943294137,0.013152104500655903,0.00713534378044107,0.011172256676585912,0.008003939118460413,0.04222136384046984,0.014269525075299133,0.1695244483436102,0.09855038369455352,0.22471800282559742,0.17223129326427228,0.03354973388247478,0.17116162448226518,0.02555876696402782,0.14700331692538338
7,21,5.6471651231082e-05,0.023947882943294137,0.025779599011315234,0.008003939118460413,0.023084058145112742,0.027077575114371775,0.023947882943294137,0.033365789150577384,0.023947882943294137,0.00713534378044107,0.013152104500655903,0.011172256676585912,0.1942668129631946,0.022378751085382797,0.070260618188271,0.021948162433968396,0.06149085380746364,0.12407706554405266,0.13771290898861763,0.20280932776329386,0.21170286799462498,0.024112916166926582
8,14,5.6471651231082e-05,0.006450154711831585,0.00713534378044107,0.00713534378044107,0.00713534378044107,0.013152104500655903,0.006450154711831585,0.025779599011315234,0.033365789150577384,0.008486762816097178,0.008003939118460413,0.015968713606659184,0.04034639698314898,0.23973018460850581,0.03388594071253807,0.15871689136755535,0.0259545391414751,0.023394013231069634,0.026913137548213367,0.03460894742747822,0.12903433339263853,0.14262511792240784
9,18,5.6471651231082e-05,0.023947882943294137,0.011172256676585912,0.023947882943294137,0.008486762816097178,0.013152104500655903,0.011172256676585912,0.00713534378044107,0.010995306353067353,0.011172256676585912,0.023947882943294137,0.00713534378044107,0.018317982508574762,0.03985448321229606,0.13827596018117141,0.02886971287536826,0.020462615144146767,0.2151871183252793,0.11049502156293686,0.027400486935743568,0.032996203645886145,0.029686590063720063
10,4,5.6471651231082e-05,0.09499339155373547,0.04064299527592346,0.2785427241028169,0.08633877297599632,0.018317982508574762,0.2522612590979525,0.026447779895246038,0.05521887895173423,0.07169455933386461,0.027137994698862595,0.025779599011315234,0.023947882943294137,0.011172256676585912,0.01902736228391531,0.010995306353067353,0.023947882943294137,0.023084058145112742,0.023947882943294137,0.008486762816097178,0.013152104500655903,0.023947882943294137
11,16,5.6471651231082e-05,0.011172256676585912,0.023947882943294137,0.00713534378044107,0.023947882943294137,0.010475138544863042,0.008486762816097178,0.00713534378044107,0.013152104500655903,0.013152104500655903,0.025779599011315234,0.006450154711831585,0.014269525075299133,0.031234578812674905,0.027560832568989623,0.1884515831254751,0.17690932553903366,0.031234578812674905,0.023566047369030015,0.025457279624133744,0.032996203645886145,0.02832576912545697
12,18,5.6471651231082e-05,0.011172256676585912,0.023947882943294137,0.00713534378044107,0.023947882943294137,0.011172256676585912,0.013152104500655903,0.00713534378044107,0.033365789150577384,0.023947882943294137,0.008003939118460413,0.027077575114371775,0.028457939559467144,0.023566047369030015,0.031234578812674905,0.033680339080950854,0.1807326428029098,0.18569685093918514,0.027967414341703373,0.032996203645886145,0.0448290760388272,0.07937807184382129
13,9,5.6471651231082e-05,0.031234578812674905,0.28951049919445837,0.03047796755725376,0.032374711480122845,0.031559666086440084,0.031234578812674905,0.17625730338879525,0.3532580899506806,0.027689344366172475,0.026009085994227594,0.013152104500655903,0.006450154711831585,0.008486762816097178,0.008003939118460413,0.010995306353067353,0.008486762816097178,0.010475138544863042,0.013152104500655903,0.008003939118460413,0.008003939118460413,0.008486762816097178
14,7,5.6471651231082e-05,0.06599705414355941,0.02455472196498426,0.0757487084331663,0.028045611009890815,0.031234578812674905,0.23792705533405875,0.1042804533554991,0.027967414341703373,0.037043201756236536,0.11644973304576245,0.010995306353067353,0.008003939118460413,0.013152104500655903,0.025779599011315234,0.023947882943294137,0.00713534378044107,0.011172256676585912,0.010475138544863042,0.025779599011315234,0.023947882943294137,0.013152104500655903
15,21,5.6471651231082e-05,0.010475138544863042,0.023947882943294137,0.011172256676585912,0.012881645447551247,0.023947882943294137,0.00713534378044107,0.023947882943294137,0.025779599011315234,0.013152104500655903,0.023084058145112742,0.013152104500655903,0.10229736290086318,0.08910577513742549,0.031234578812674905,0.03460894742747822,0.14754169751006047,0.05521887895173423,0.057985881113163384,0.03472421685429462,0.28560877190348316,0.06425359725322133
16,5,5.6471651231082e-05,0.03996178738720677,0.0302695300518591,0.03421528701171117,0.35560353414980156,0.032996203645886145,0.021426023203779516,0.027501667259979524,0.033798778028255004,0.015161279636392102,0.023566047369030015,0.008003939118460413,0.008486762816097178,0.013152104500655903,0.010995306353067353,0.008486762816097178,0.01902736228391531,0.023947882943294137,0.00713534378044107,0.010475138544863042,0.00713534378044107,0.013152104500655903
17,13,5.6471651231082e-05,0.023084058145112742,0.013152104500655903,0.033365789150577384,0.010475138544863042,0.023947882943294137,0.023947882943294137,0.011172256676585912,0.010475138544863042,0.013152104500655903,0.008486762816097178,0.013152104500655903,0.22542686693390707,0.018837405235571134,0.06402744699422344,0.05920382757568717,0.011182234172091254,0.04310487423841509,0.021488083376703923,0.014269525075299133,0.1710718327763468,0.025629868428357083
18,18,5.6471651231082e-05,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.023084058145112742,0.023947882943294137,0.013152104500655903,0.013152104500655903,0.013152104500655903,0.023947882943294137,0.00713534378044107,0.09914847470376362,0.07415610353720983,0.014269525075299133,0.2895187610344913,0.08910577513742549,0.34459893153733784,0.12903433339263853,0.08910577513742549,0.09544053006251467,0.27596249426900243
19,20,5.6471651231082e-05,0.023947882943294137,0.013152104500655903,0.023947882943294137,0.013152104500655903,0.006450154711831585,0.0075726696644897885,0.009955482157110788,0.00713534378044107,0.00713534378044107,0.013152104500655903,0.033365789150577384,0.03256316698455002,0.014269525075299133,0.030740866857210076,0.09038267445628498,0.04650634703014718,0.05939582875299584,0.1124854366637477,0.17339113558372032,0.02033541865237633,0.023566047369030015
20,17,5.6471651231082e-05,0.013152104500655903,0.023084058145112742,0.00713534378044107,0.023947882943294137,0.013152104500655903,0.012881645447551247,0.008003939118460413,0.006450154711831585,0.008003939118460413,0.010995306353067353,0.008486762816097178,0.030740866857210076,0.08181661781074621,0.023566047369030015,0.09039991713487135,0.33247905282547247,0.06399345080133818,0.026710765751026194,0.13010780684740675,0.025178791150622083,0.022924036620584714
21,15,5.6471651231082e-05,0.023947882943294137,0.023947882943294137,0.013152104500655903,0.013152104500655903,0.025779599011315234,0.013152104500655903,0.011172256676585912,0.011172256676585912,0.011172256676585912,0.008486762816097178,0.008003939118460413,0.0231259061557069,0.017036527236728282,0.2895187610344913,0.02471896603633767,0.059445696358403674,0.05008701085299844,0.037435155534519086,0.033680339080950854,0.03588110735090163,0.09773353632905261
22,17,5.6471651231082e-05,0.013152104500655903,0.023947882943294137,0.01902736228391531,0.008003939118460413,0.011947464140926508,0.012881645447551247,0.011172256676585912,0.00713534378044107,0.013152104500655903,0.025779599011315234,0.023084058145112742,0.0241967808595734,0.13827596018117141,0.05521887895173423,0.017036527236728282,0.24025401401536825,0.02196062856095196,0.055178914150373994,0.04675244359688607,0.03400158097410406,0.03865740486075385
23,6,5.6471651231082e-05,0.018770728857578228,0.08904071034259825,0.02843630821682953,0.02033541865237633,0.21836577753068145,0.02033541865237633,0.01876578673956665,0.014269525075299133,0.027967414341703373,0.02056081138446112,0.023947882943294137,0.060044843006191895,0.011172256676585912,0.00713534378044107,0.00713534378044107,0.00713534378044107,0.033365789150577384,0.010475138544863042,0.008486762816097178,0.010475138544863042,0.013152104500655903
24,21,5.6471651231082e-05,0.008486762816097178,0.008486762816097178,0.033365789150577384,0.011172256676585912,0.023947882943294137,0.0075726696644897885,0.00713534378044107,0.006450154711831585,0.006450154711831585,0.008486762816097178,0.023947882943294137,0.018841360739137777,0.02310242081380548,0.024306140007423767,0.03344310255276144,0.026913137548213367,0.02922829261801324,0.02483503611365397,0.03427619959480739,0.25939402888476326,0.08846790061864336
25,21,5.6471651231082e-05,0.011172256676585912,0.013152104500655903,0.011172256676585912,0.023947882943294137,0.00713534378044107,0.00713534378044107,0.010475138544863042,0.023947882943294137,0.010475138544863042,0.006450154711831585,0.008486762816097178,0.023181086625968406,0.02832585379545626,0.06385640363239842,0.028964862825135995,0.02384453584254168,0.09134318806937834,0.046811015642946846,0.027614504802305644,0.3532580899506806,0.023566047369030015
26,10,5.6471651231082e-05,0.12186078035589196,0.14052704412805941,0.03451191401768278,0.031234578812674905,0.040429851785833235,0.07988482985145283,0.135013243594795,0.025461171137359524,0.2684332890079626,0.025948088787397555,0.023947882943294137,0.006450154711831585,0.010995306353067353,0.00713534378044107,0.014664402305012944,0.008003939118460413,0.010995306353067353,0.033365789150577384,0.023947882943294137,0.025779599011315234,0.00713534378044107
27,4,5.6471651231082e-05,0.027767409118830466,0.022693396225831698,0.36539685135672534,0.07734163130861552,0.023051233112355147,0.03400158097410406,0.018770728857578228,0.02533691352702134,0.014674244917895849,0.02642779798770429,0.023947882943294137,0.00713534378044107,0.013152104500655903,0.008003939118460413,0.011172256676585912,0.023947882943294137,0.013152104500655903,0.00713534378044107,0.008486762816097178,0.010475138544863042,0.011172256676585912
28,6,5.6471651231082e-05,0.24022945167425033,0.10523781886082836,0.28560877190348316,0.23973018460850581,0.2895187610344913,0.026333049530459163,0.06150180552463027,0.12588473389149518,0.04580427248169661,0.02572400663170705,0.010475138544863042,0.014664402305012944,0.012881645447551247,0.008486762816097178,0.027077575114371775,0.00713534378044107,0.012881645447551247,0.008486762816097178,0.023947882943294137,0.023947882943294137,0.013152104500655903
29,8,5.6471651231082e-05,0.05815251575768586,0.02610271071393911,0.33247905282547247,0.023781494647782793,0.032996203645886145,0.03278112290908762,0.3452672202335548,0.027621829775819663,0.1118044302837776,0.026339499884536717,0.008486762816097178,0.008486762816097178,0.013152104500655903,0.023947882943294137,0.023947882943294137,0.006450154711831585,0.008003939118460413,0.010475138544863042,0.012881645447551247,0.023947882943294137,0.010995306353067353
30,8,5.6471651231082e-05,0.032996203645886145,0.03460894742747822,0.02033541865237633,0.08633877297599632,0.0941572991571659,0.02033541865237633,0.18747053276755204,0.022190494664911735,0.027967414341703373,0.032996203645886145,0.006450154711831585,0.013152104500655903,0.025779599011315234,0.00713534378044107,0.025779599011315234,0.023947882943294137,0.02923249620327851,0.006450154711831585,0.011172256676585912,0.00713534378044107,0.023947882943294137
31,14,5.6471651231082e-05,0.013152104500655903,0.015968713606659184,0.013152104500655903,0.025779599011315234,0.011172256676585912,0.025779599011315234,0.011172256676585912,0.013152104500655903,0.023947882943294137,0.00713534378044107,0.011172256676585912,0.0259545391414751,0.21667012070154995,0.04071018953950141,0.02610271071393911,0.040429851785833235,0.06683701296940812,0.05221364760760537,0.13950977940384177,0.19206474200162954,0.11769345257877062
32,20,5.6471651231082e-05,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.008492450798990744,0.023947882943294137,0.027077575114371775,0.013152104500655903,0.011172256676585912,0.023947882943294137,0.00713534378044107,0.01902736228391531,0.13805461522654172,0.05727428670172544,0.09038267445628498,0.09155999487212378,0.06455500682978375,0.054313828259667886,0.01573920134568379,0.23536241983796313,0.22235058352353088,0.18482998479604612
33,6,5.6471651231082e-05,0.031234578812674905,0.03400158097410406,0.03129288349123459,0.027505749596100575,0.22882520815063456,0.03073441650313253,0.035763205807315304,0.028457939559467144,0.009094842229828147,0.0640561222021836,0.012881645447551247,0.011172256676585912,0.023947882943294137,0.008003939118460413,0.025779599011315234,0.033365789150577384,0.013152104500655903,0.008486762816097178,0.011172256676585912,0.011172256676585912,0.023084058145112742
34,14,5.6471651231082e-05,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.023947882943294137,0.00713534378044107,0.013152104500655903,0.023947882943294137,0.011172256676585912,0.023947882943294137,0.013152104500655903,0.010995306353067353,0.052095864706319675,0.1316497372244367,0.03460894742747822,0.03558482161409453,0.046933161532229796,0.09348570670728226,0.05285401301442758,0.028457939559467144,0.04017939216462496,0.08228270605137214
35,4,5.6471651231082e-05,0.0682883474992258,0.0302695300518591,0.3452672202335548,0.023937313235519498,0.04017939216462496,0.035763205807315304,0.22072687579301403,0.1251994764823473,0.23224662080581587,0.026214687625814803,0.008486762816097178,0.00713534378044107,0.011172256676585912,0.010475138544863042,0.023947882943294137,0.006450154711831585,0.008486762816097178,0.010995306353067353,0.012881645447551247,0.023947882943294137,0.008486762816097178
36,15,5.6471651231082e-05,0.013152104500655903,0.023947882943294137,0.023947882943294137,0.025779599011315234,0.011172256676585912,0.023947882943294137,0.033365789150577384,0.013152104500655903,0.010475138544863042,0.006450154711831585,0.008003939118460413,0.18526015486678443,0.1588241101612353,0.27250014097033226,0.2153321122707033,0.1810971773863213,0.2153321122707033,0.03528575788902891,0.09433098495240547,0.031234578812674905,0.1942668129631946
37,15,5.6471651231082e-05,0.023947882943294137,0.033365789150577384,0.025779599011315234,0.023947882943294137,0.010475138544863042,0.012881645447551247,0.025779599011315234,0.013152104500655903,0.013152104500655903,0.00713534378044107,0.012881645447551247,0.14157212406192532,0.133979591080968,0.23792705533405875,0.028228173298788673,0.20413496259383979,0.12668496442187122,0.014269525075299133,0.04198234041139827,0.08633877297599632,0.02473408107645866
