Id,Predicted,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22
Estimation,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0.0,0.01,0.0,0.03,0.02,0.0,0.01,0.0,0.01,0.03,0.0,0.03,0.11,0.0,0.0,0.06,0.08,0.01,0.0,0.15,0.0,0.0
1,4,0.0,0.14,0.03,0.23,0.05,0.0,0.02,0.01,0.02,0.0,0.06,0.02,0.03,0.01,0.0,0.0,0.03,0.02,0.01,0.01,0.02,0.03
2,3,0.0,0.08,0.12,0.0,0.11,0.09,0.1,0.05,0.03,0.01,0.01,0.0,0.01,0.01,0.04,0.03,0.02,0.01,0.02,0.04,0.04,0.02
3,2,0.0,0.34,0.25,0.1,0.06,0.27,0.05,0.27,0.0,0.14,0.01,0.0,0.02,0.04,0.03,0.03,0.06,0.0,0.0,0.01,0.03,0.04
4,20,0.0,0.04,0.04,0.02,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.03,0.0,0.02,0.08,0.05,0.39,0.01,0.01
5,9,0.0,0.03,0.22,0.2,0.0,0.01,0.19,0.04,0.3,0.05,0.0,0.03,0.0,0.01,0.0,0.0,0.02,0.03,0.02,0.03,0.04,0.0
6,17,0.0,0.01,0.04,0.02,0.04,0.02,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.25,0.12,0.31,0.19,0.03,0.13,0.01,0.16
7,21,0.0,0.03,0.0,0.01,0.01,0.05,0.02,0.03,0.0,0.0,0.03,0.03,0.18,0.01,0.08,0.0,0.06,0.15,0.11,0.23,0.27,0.01
8,14,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.03,0.07,0.0,0.01,0.02,0.04,0.31,0.03,0.23,0.0,0.03,0.0,0.01,0.15,0.21
9,18,0.0,0.04,0.0,0.01,0.01,0.0,0.02,0.02,0.02,0.01,0.03,0.01,0.0,0.03,0.23,0.04,0.0,0.31,0.05,0.0,0.03,0.01
10,4,0.0,0.01,0.04,0.39,0.1,0.0,0.21,0.02,0.04,0.06,0.05,0.0,0.06,0.03,0.01,0.0,0.04,0.03,0.02,0.01,0.01,0.02
11,16,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.04,0.01,0.0,0.0,0.01,0.22,0.21,0.02,0.0,0.02,0.02,0.0
12,17,0.0,0.02,0.03,0.02,0.04,0.01,0.01,0.02,0.02,0.04,0.01,0.03,0.03,0.02,0.02,0.01,0.23,0.21,0.0,0.01,0.06,0.08
