"Id","Predicted","P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22"
"Estimation",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236
1,13,0.0,0.0,0.3333333333333333,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0
2,5,0.0,0.0,0.00011516756881262236,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.5,0.0,0.3333333333333333,0.0,0.25,0.11764705882352941,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.125,0.0,0.0
4,20,0.3333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4117647058823529,0.0,0.0
5,3,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
6,20,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.3333333333333333,0.0,0.0,0.25,0.0,1.0,0.0,0.6666666666666666
7,12,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.10526315789473684,0.0,0.25,0.3333333333333333,0.0
8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.25,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,0.00011516756881262236,0.0,0.14285714285714285
10,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.00011516756881262236,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236
12,16,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.00011516756881262236,0.0,0.5,0.0
13,2,0.0,0.5,0.0,0.0,0.0,0.25,0.00011516756881262236,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.4,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0
15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,4,0.0,0.125,0.0,0.25,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.00011516756881262236,0.0
18,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00011516756881262236,0.0,0.0,0.0,0.0,0.00011516756881262236,0.3333333333333333,0.0,0.2,0.0
19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.058823529411764705,0.6,0.0,0.0,0.0,0.00011516756881262236
20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.00011516756881262236,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.00011516756881262236,0.0,0.0,0.125,0.0,0.125,0.0,0.0
22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.00011516756881262236,0.15384615384615385,0.0,0.0,0.0
23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.07142857142857142,0.3333333333333333,0.0,0.0,0.0
24,21,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.00011516756881262236,0.5,0.3333333333333333
25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0
26,9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.00011516756881262236,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
27,5,0.0,0.0,0.4,0.00011516756881262236,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
28,1,0.3333333333333333,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,7,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,7,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
31,20,0.2,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00011516756881262236,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.14285714285714285,0.0
32,21,0.0,0.0,0.0,0.0,0.07692307692307693,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.1,0.16666666666666666,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,16,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,18,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.3333333333333333,0.00011516756881262236,0.5,0.4,0.0,0.0,1.0,0.0,0.25,0.0,0.0
37,11,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.5,0.00011516756881262236,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2,1.0
38,1,0.5,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.00011516756881262236,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.07692307692307693,0.0
39,8,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.00011516756881262236,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
41,12,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.00011516756881262236,0.0,0.0,0.16666666666666666
42,21,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.00011516756881262236,0.0,0.16666666666666666,0.25,0.3333333333333333,0.0,0.25,1.0,0.3333333333333333
43,6,0.3333333333333333,0.0,0.00011516756881262236,0.2222222222222222,0.0,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,16,0.0,0.00011516756881262236,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
45,3,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
46,18,0.0,0.0,0.13333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.08333333333333333,0.00011516756881262236,0.0,0.0,0.6,0.0,0.2,0.0,0.0
47,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.16666666666666666,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0
48,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.00011516756881262236
49,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.5,0.14285714285714285,0.0,0.2857142857142857,0.3333333333333333,0.25,0.00011516756881262236
50,17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
51,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.2,0.0,0.0,0.0,0.0,0.0
52,1,0.5,0.0,0.0,0.07692307692307693,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.00011516756881262236
53,3,0.09090909090909091,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236
54,19,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
55,10,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.00011516756881262236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.045454545454545456,0.0,0.0,0.0
56,11,0.00011516756881262236,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2
57,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0
58,11,0.0,0.0,0.00011516756881262236,0.2,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,3,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011516756881262236,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,3,0.2,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.00011516756881262236,0.25,0.0,0.25,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.00011516756881262236,0.0,0.14285714285714285,0.375,0.0
62,1,0.5,0.0,0.0,0.00011516756881262236,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
63,9,0.0,0.0,0.00011516756881262236,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.2,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.09090909090909091
64,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.00011516756881262236,0.0,0.0,0.0,0.0,0.0,0.0
